Country,Total_Cases2021,Total_deaths_2021,Population,%Infection_of_Total_Population,Averager_yearly_temperature,Airline_Passengers,population_density,median_age,aged_65_older%,aged_70_older%,hospital_beds_per_thousand,human_development_index,Tobacco use (% of adults)
United States,45876564,475059,331501080,0.061,10,369500000,35.61,38.3,0.15,0.1,2.77,0.93,0.23
Brazil,14039442,424262,213196304,0.036,25.93,45410000,25.04,33.5,0.09,0.05,2.2,0.77,0.128
India,9818294,332492,1396387127,0.0074,24.8,68960000,450.42,28.2,0.06,0.03,0.53,0.65,0.27
Russia,11170110,246400,144073139,0.0217,-1.72,62450000,8.82,39.6,0.14,0.09,8.05,0.82,0.268
Mexico,3254744,173621,125998302,0.0113,22.08,34130000,66.44,29.3,0.07,0.04,1.38,0.78,0.131
Peru,2161812,109620,33304756,0.0305,19.95,5710000,25.13,29.1,0.07,0.04,1.6,0.78,0.081
United Kingdom,11197198,82399,67081000,0.0371,9.68,30970000,272.9,40.8,0.19,0.13,2.54,0.93,0.154
Indonesia,2457095,121956,271857970,0.0027,26.18,37520000,145.73,29.3,0.05,0.03,1.04,0.72,0.376
Italy,19018022,63243,59438851,0.0355,13.85,7800000,205.86,47.9,0.23,0.16,3.18,0.89,0.231
Iran,1366739,76383,87290193,0.014,18.35,12740000,49.83,32.4,0.05,0.03,1.5,0.78,0.14
Colombia,1179220,86729,50930662,0.0323,25.36,12270000,44.22,32.2,0.08,0.04,1.71,0.77,0.085
France,29316052,59161,67571107,0.0394,12.71,24960000,122.58,42,0.2,0.13,5.98,0.9,0.334
Argentina,4236731,73924,45376763,0.0358,15.52,3680000,16.18,31.9,0.11,0.07,5,0.85,0.245
Germany,30260684,78531,83160871,0.0207,10.79,25760000,237.02,46.6,0.21,0.16,8,0.95,0.22
Ukraine,1815506,82807,44132049,0.0246,10.86,1790000,77.39,41.4,0.16,0.11,8.8,0.78,0.258
Poland,2260264,68500,37899070,0.0342,10.03,2690000,124.03,41.8,0.17,0.1,6.62,0.88,0.24
South Africa,590916,62676,58801927,0.018,18.47,8300000,46.75,27.3,0.05,0.03,2.32,0.71,0.203
Spain,7389513,38568,47365655,0.0407,14.65,26560000,93.11,45.5,0.19,0.14,2.97,0.9,0.277
Romania,1499589,42985,19265250,0.0328,11.3,1790000,85.13,43,0.18,0.12,6.89,0.83,0.28
Philippines,1220464,42260,112190977,0.0042,26.64,11180000,351.87,25.2,0.05,0.03,1,0.72,0.229
Hungary,929401,29649,9750149,0.0331,12.25,14600000,108.04,43.4,0.19,0.12,7.02,0.85,0.318
Chile,3231033,22507,19300315,0.0316,9.97,8020000,24.28,35.4,0.11,0.07,2.11,0.85,0.292
Ecuador,491045,19647,17588595,0.0121,21.78,1150000,66.94,28.1,0.07,0.04,1.5,0.76,0.113
Vietnam,9793974,32359,96648685,0,25.22,31770000,308.13,32.6,0.07,0.05,2.6,0.7,0.248
Malaysia,2268591,31016,33199993,0.0034,26.67,15890000,96.25,29.9,0.06,0.03,1.9,0.81,0.225
Bulgaria,544996,23379,6934015,0.0292,12.5,440000,65.18,44.7,0.21,0.13,7.45,0.82,0.39
Canada,2281407,14584,38037204,0.0155,-4.27,27620000,4.04,41.4,0.17,0.11,2.5,0.93,0.13
Pakistan,279839,18757,227196741,0.0021,20.81,3710000,255.57,23.5,0.04,0.03,0.6,0.56,0.202
Belgium,2562905,8803,11538604,0.056,11.88,3520000,375.56,41.8,0.19,0.13,5.64,0.93,0.234
Bangladesh,451586,20513,167420951,0.0031,25.38,2980000,1265.04,27.5,0.05,0.03,0.8,0.63,0.347
Tunisia,420865,20893,12161723,0.0114,20.87,1380000,74.23,32.7,0.08,0.05,2.3,0.74,0.246
Iraq,371367,11345,42556984,0.014,23.45,760000,88.13,20,0.03,0.02,1.4,0.67,0.19
Egypt,130070,14121,107465134,0.0013,23.18,4640000,98,25.3,0.05,0.03,1.6,0.71,0.243
Thailand,2498373,21637,71475664,0.0001,27.43,28180000,135.13,40.1,0.11,0.07,2.1,0.78,0.221
Netherlands,5426571,9540,17441500,0.0462,11.66,14750000,508.54,43.2,0.19,0.12,3.32,0.94,0.222
Greece,4337634,15952,10698599,0.013,14.8,5650000,83.48,45.3,0.2,0.15,4.21,0.89,0.335
Bolivia,561265,10515,11936162,0.0134,21.35,2630000,10.2,25.4,0.07,0.04,1.1,0.72,0.127
Portugal,4164412,12049,10297081,0.0402,16.42,6220000,112.37,46.2,0.22,0.15,3.39,0.86,0.254
Japan,27501370,14900,126261000,0.0019,12.32,51130000,347.78,48.2,0.27,0.18,13.05,0.92,0.201
Kazakhstan,415788,15462,18755666,0.0107,8.35,5280000,6.68,30.6,0.07,0.05,6.7,0.83,0.232
Austria,4434282,9329,8916864,0.0399,8.24,13290000,106.75,44.4,0.19,0.14,7.37,0.92,0.264
