Country, Total_Cases2020 , Total_Cases2021 , Total_deaths_2020 , Population ,%Infection_of_Total_Population,Averager_yearly_temperature,Airline_Passengers,population_density,median_age,aged_65_older%,aged_70_older%,hospital_beds_per_thousand,human_development_index,Tobacco use (% of adults),Total_deaths_2021
United States," 20,217,056 "," 54,904,270 "," 350,555 "," 331,501,080 ",0.061,10,369500000,35.61,38.3,0.15,0.1,2.77,0.93,0.23,1093008
Brazil," 7,681,032 "," 22,291,839 "," 195,072 "," 213,196,304 ",0.036,25.93,45410000,25.04,33.5,0.09,0.05,2.2,0.77,0.128,693853
India," 10,286,709 "," 34,861,579 "," 148,994 "," 1,396,387,127 ",0.0074,24.8,68960000,450.42,28.2,0.06,0.03,0.53,0.65,0.27,530705
Russia," 3,127,347 "," 10,320,405 "," 56,271 "," 144,073,139 ",0.0217,-1.72,62450000,8.82,39.6,0.14,0.09,8.05,0.82,0.268,385789
Mexico," 1,426,094 "," 3,979,723 "," 125,807 "," 125,998,302 ",0.0113,22.08,34130000,66.44,29.3,0.07,0.04,1.38,0.78,0.131,331099
Peru," 1,015,137 "," 2,296,831 "," 93,070 "," 33,304,756 ",0.0305,19.95,5710000,25.13,29.1,0.07,0.04,1.6,0.78,0.081,218232
United Kingdom," 2,488,780 "," 12,937,886 "," 94,998 "," 67,081,000 ",0.0371,9.68,30970000,272.9,40.8,0.19,0.13,2.54,0.93,0.154,214878
Indonesia," 743,198 "," 4,262,720 "," 22,138 "," 271,857,970 ",0.0027,26.18,37520000,145.73,29.3,0.05,0.03,1.04,0.72,0.376,160612
Italy," 2,107,166 "," 6,125,683 "," 74,159 "," 59,438,851 ",0.0355,13.85,7800000,205.86,47.9,0.23,0.16,3.18,0.89,0.231,184642
Iran," 1,225,142 "," 6,194,401 "," 55,223 "," 87,290,193 ",0.014,18.35,12740000,49.83,32.4,0.05,0.03,1.5,0.78,0.14,144685
Colombia," 1,642,775 "," 5,157,440 "," 43,213 "," 50,930,662 ",0.0323,25.36,12270000,44.22,32.2,0.08,0.04,1.71,0.77,0.085,141881
France," 2,660,676 "," 10,018,021 "," 64,644 "," 67,571,107 ",0.0394,12.71,24960000,122.58,42,0.2,0.13,5.98,0.9,0.334,162031
Argentina," 1,625,514 "," 5,654,408 "," 43,245 "," 45,376,763 ",0.0358,15.52,3680000,16.18,31.9,0.11,0.07,5,0.85,0.245,130124
Germany," 1,719,737 "," 7,109,182 "," 33,071 "," 83,160,871 ",0.0207,10.79,25760000,237.02,46.6,0.21,0.16,8,0.95,0.22,161465
Ukraine," 1,086,997 "," 3,847,226 "," 19,281 "," 44,132,049 ",0.0246,10.86,1790000,77.39,41.4,0.16,0.11,8.8,0.78,0.258,118689
Poland," 1,294,878 "," 4,108,215 "," 28,554 "," 37,899,070 ",0.0342,10.03,2690000,124.03,41.8,0.17,0.1,6.62,0.88,0.24,118533
South Africa," 1,057,161 "," 3,458,286 "," 28,469 "," 58,801,927 ",0.018,18.47,8300000,46.75,27.3,0.05,0.03,2.32,0.71,0.203,102568
Spain," 1,928,265 "," 6,294,745 "," 50,837 "," 47,365,655 ",0.0407,14.65,26560000,93.11,45.5,0.19,0.14,2.97,0.9,0.277,117095
Romania," 632,263 "," 1,808,891 "," 15,767 "," 19,265,250 ",0.0328,11.3,1790000,85.13,43,0.18,0.12,6.89,0.83,0.28,67374
Philippines," 474,064 "," 2,843,979 "," 9,244 "," 112,190,977 ",0.0042,26.64,11180000,351.87,25.2,0.05,0.03,1,0.72,0.229,65385
Hungary," 322,514 "," 1,256,415 "," 9,537 "," 9,750,149 ",0.0331,12.25,14600000,108.04,43.4,0.19,0.12,7.02,0.85,0.318,48495
Chile," 608,973 "," 1,806,494 "," 16,608 "," 19,300,315 ",0.0316,9.97,8020000,24.28,35.4,0.11,0.07,2.11,0.85,0.292,63172
Ecuador," 212,512 "," 549,418 "," 14,034 "," 17,588,595 ",0.0121,21.78,1150000,66.94,28.1,0.07,0.04,1.5,0.76,0.113,35940
Vietnam," 1,465 "," 1,731,257 ", 35 ," 96,648,685 ",0,25.22,31770000,308.13,32.6,0.07,0.05,2.6,0.7,0.248,43186
Malaysia," 113,010 "," 2,758,086 ", 471 ," 33,199,993 ",0.0034,26.67,15890000,96.25,29.9,0.06,0.03,1.9,0.81,0.225,36853
Bulgaria," 202,266 "," 747,108 "," 7,576 "," 6,934,015 ",0.0292,12.5,440000,65.18,44.7,0.21,0.13,7.45,0.82,0.39,38108
Canada," 590,249 "," 2,223,735 "," 15,736 "," 38,037,204 ",0.0155,-4.27,27620000,4.04,41.4,0.17,0.11,2.5,0.93,0.13,49238
Pakistan," 482,178 "," 1,295,933 "," 10,176 "," 227,196,741 ",0.0021,20.81,3710000,255.57,23.5,0.04,0.03,0.6,0.56,0.202,30636
Belgium," 646,496 "," 2,105,343 "," 19,528 "," 11,538,604 ",0.056,11.88,3520000,375.56,41.8,0.19,0.13,5.64,0.93,0.234,33228
Bangladesh," 513,510 "," 1,585,539 "," 7,559 "," 167,420,951 ",0.0031,25.38,2980000,1265.04,27.5,0.05,0.03,0.8,0.63,0.347,29440
Tunisia," 139,140 "," 726,706 "," 4,676 "," 12,161,723 ",0.0114,20.87,1380000,74.23,32.7,0.08,0.05,2.3,0.74,0.246,29284
Iraq," 595,291 "," 2,093,740 "," 12,813 "," 42,556,984 ",0.014,23.45,760000,88.13,20,0.03,0.02,1.4,0.67,0.19,25373
Egypt," 138,062 "," 385,575 "," 7,631 "," 107,465,134 ",0.0013,23.18,4640000,98,25.3,0.05,0.03,1.6,0.71,0.243,24801
Thailand," 6,884 "," 2,223,435 ", 61 ," 71,475,664 ",0.0001,27.43,28180000,135.13,40.1,0.11,0.07,2.1,0.78,0.221,33594
Netherlands," 806,620 "," 3,153,512 "," 11,459 "," 17,441,500 ",0.0462,11.66,14750000,508.54,43.2,0.19,0.12,3.32,0.94,0.222,23079
Greece," 138,850 "," 1,210,853 "," 4,838 "," 10,698,599 ",0.013,14.8,5650000,83.48,45.3,0.2,0.15,4.21,0.89,0.335,34779
Bolivia," 160,124 "," 599,753 "," 9,165 "," 11,936,162 ",0.0134,21.35,2630000,10.2,25.4,0.07,0.04,1.1,0.72,0.127,22299
Portugal," 413,678 "," 1,389,646 "," 6,906 "," 10,297,081 ",0.0402,16.42,6220000,112.37,46.2,0.22,0.15,3.39,0.86,0.254,25714
Japan," 235,749 "," 1,733,307 "," 3,492 "," 126,261,000 ",0.0019,12.32,51130000,347.78,48.2,0.27,0.18,13.05,0.92,0.201,57274
Kazakhstan," 201,196 "," 1,072,518 "," 2,749 "," 18,755,666 ",0.0107,8.35,5280000,6.68,30.6,0.07,0.05,6.7,0.83,0.232,19057
Austria," 356,063 "," 1,270,811 "," 7,486 "," 8,916,864 ",0.0399,8.24,13290000,106.75,44.4,0.19,0.14,7.37,0.92,0.264,21443
Slovakia," 274,603 "," 1,371,082 "," 2,138 "," 5,458,827 ",0.0503,9.63,0,113.13,41.2,0.15,0.09,5.82,0.86,0.315,20823
Paraguay," 107,932 "," 466,101 "," 2,262 "," 6,618,695 ",0.0163,24.62,130000,17.14,26.5,0.06,0.04,1.3,0.73,0.115,19688
Guatemala," 138,012 "," 628,359 "," 4,813 "," 16,858,333 ",0.0082,24.35,30000,157.83,22.9,0.05,0.03,0.6,0.66,0.109,20001
Sweden," 437,379 "," 1,314,784 "," 8,727 "," 10,353,442 ",0.0422,4.47,14040000,24.72,41,0.2,0.13,2.22,0.95,0.24,21827
Sri Lanka," 43,299 "," 587,245 ", 204 ," 21,919,000 ",0.002,27.66,1240000,341.96,34.1,0.1,0.05,3.6,0.78,0.22,16817
Morocco," 439,193 "," 963,092 "," 7,388 "," 36,688,772 ",0.012,18.57,3010000,80.08,29.6,0.07,0.04,1.1,0.69,0.145,16294
Georgia," 227,420 "," 934,741 "," 2,505 "," 3,722,716 ",0.0611,9.92,70000,65.03,38.7,0.15,0.1,2.6,0.81,0.317,16897
Jordan," 294,494 "," 1,063,405 "," 3,834 "," 10,928,721 ",0.0269,19.92,820000,109.29,23.2,0.04,0.02,1.4,0.73,0.348,14122
Croatia," 210,837 "," 715,245 "," 3,920 "," 4,047,680 ",0.0521,12.46,610000,73.73,44,0.2,0.13,5.54,0.85,0.369,17596
Switzerland," 452,296 "," 1,332,615 "," 7,873 "," 8,638,167 ",0.0524,7.67,9010000,214.24,43.1,0.18,0.13,4.53,0.96,0.255,14173
Nepal," 260,593 "," 828,431 "," 1,856 "," 29,348,627 ",0.0089,13.97,1990000,204.43,25,0.06,0.03,0.3,0.6,0.304,12019
Honduras," 121,827 "," 379,402 "," 3,130 "," 10,121,763 ",0.012,25.21,90000,82.81,24.9,0.05,0.03,0.7,0.63,0,11071
